order_id,customer_id,дата_заказа,сумма_заказа,категория,статус
O00209,C0305,2024-08-31,517.74,продукты,выполнен
O00210,C0149,2024-03-13,100.0,книги,отменён
O00211,C0149,2024-12-22,570.99,одежда,возврат
O00212,C0363,2024-12-19,138.14,книги,отменён
O00213,C0028,2024-01-26,282.43,продукты,выполнен
O00214,C0444,2024-07-28,216.52,электроника,выполнен
O00215,C0419,2024-04-01,1645.9,красота,выполнен
O00216,C0334,2024-05-04,2115.58,продукты,возврат
O00217,C0302,2024-03-13,874.15,спорт,отменён
O00218,C0438,2024-05-02,553.32,дом_и_сад,выполнен
O00219,C0098,2024-11-04,680.39,одежда,выполнен
O00220,C0041,2024-07-02,1644.98,дом_и_сад,выполнен
O00221,C0123,2024-07-05,136.08,книги,возврат
O00222,C0392,2024-07-16,281.44,продукты,выполнен
O00223,C0022,2024-03-18,1485.09,спорт,возврат
O00224,C0297,2024-12-13,1754.29,дом_и_сад,возврат
O00225,C0499,2024-07-04,1066.12,электроника,выполнен
O00226,C0420,2024-12-09,288.31,одежда,выполнен
O00227,C0261,2024-09-09,1467.98,электроника,отменён
O00228,C0034,2024-01-13,1976.63,спорт,выполнен
O00229,C0408,2024-10-25,1181.57,книги,возврат
O00230,C0305,2024-03-16,100.0,спорт,выполнен
O00231,C0060,2024-02-20,734.86,электроника,возврат
O00232,C0047,2024-10-01,1062.3,спорт,возврат
O00233,C0447,2024-05-28,440.32,книги,выполнен
O00234,C0335,2024-08-06,772.28,одежда,выполнен
O00235,C0406,2024-05-01,441.08,книги,выполнен
O00236,C0436,2024-07-29,333.86,дом_и_сад,возврат
O00237,C0288,2024-10-06,2227.14,электроника,выполнен
O00238,C0261,2024-01-26,790.02,одежда,возврат
O00239,C0215,2024-06-21,274.57,спорт,отменён
O00240,C0155,2024-06-04,221.12,дом_и_сад,выполнен
O00241,C0217,2024-08-25,334.02,книги,возврат
O00242,C0380,2024-03-22,335.47,спорт,выполнен
O00243,C0306,2024-12-21,747.87,продукты,выполнен
O00244,C0438,2024-09-29,980.88,электроника,выполнен
O00245,C0222,2024-03-08,980.04,дом_и_сад,выполнен
O00246,C0309,2024-02-13,365.0,одежда,выполнен
O00247,C0316,2024-03-01,1389.23,дом_и_сад,отменён
O00248,C0300,2024-05-02,1776.28,электроника,выполнен
O00249,C0346,2024-12-14,540.25,электроника,возврат
O00250,C0122,2024-07-14,291.3,одежда,выполнен
O00251,C0257,2024-11-25,720.7,одежда,возврат
O00252,C0054,2024-11-18,3744.57,спорт,выполнен
O00253,C0190,2024-04-20,285.25,электроника,выполнен
O00254,C0248,2024-09-14,436.62,красота,выполнен
O00255,C0329,2024-03-29,696.42,спорт,выполнен
O00256,C0471,2024-07-16,1025.91,продукты,выполнен
O00257,C0306,2024-10-08,135.85,продукты,выполнен
O00258,C0364,2024-07-18,1890.71,спорт,выполнен
O00259,C0255,2024-04-08,1870.26,электроника,отменён
O00260,C0317,2024-01-27,473.51,красота,выполнен
O00261,C0038,2024-03-29,5798.15,спорт,выполнен
O00262,C0129,2024-05-25,1776.08,электроника,выполнен
O00263,C0180,2024-06-30,1702.0,спорт,отменён
O00264,C0238,2024-09-13,1719.94,продукты,выполнен
O00265,C0028,2024-07-07,1680.71,электроника,возврат
O00266,C0073,2024-08-27,653.58,красота,возврат
O00267,C0143,2024-12-24,603.79,электроника,возврат
O00268,C0484,2024-07-14,312.67,спорт,выполнен
O00269,C0163,2024-10-23,419.1,красота,отменён
O00270,C0243,2024-06-13,518.68,одежда,выполнен
O00271,C0104,2024-11-02,700.9,одежда,выполнен
O00272,C0310,2024-09-27,2389.02,электроника,выполнен
O00273,C0144,2024-01-08,123.72,электроника,выполнен
O00274,C0109,2024-02-07,1950.71,электроника,возврат
O00275,C0259,2024-04-23,296.04,книги,возврат
O00276,C0003,2024-12-04,611.79,книги,выполнен
O00277,C0003,2024-02-25,372.59,дом_и_сад,выполнен
O00278,C0115,2024-12-24,2931.95,одежда,выполнен
O00279,C0024,2024-05-17,445.87,книги,отменён
O00280,C0055,2024-04-11,1009.45,спорт,выполнен
O00281,C0165,2024-11-29,1052.17,одежда,выполнен
O00282,C0394,2024-06-25,262.96,продукты,выполнен
O00283,C0288,2024-06-17,615.59,электроника,отменён
O00284,C0257,2024-12-04,1743.17,красота,отменён
O00285,C0147,2024-10-12,330.77,спорт,выполнен
O00286,C0461,2024-09-17,1291.0,дом_и_сад,выполнен
O00287,C0197,2024-08-10,510.37,дом_и_сад,выполнен
O00288,C0044,2024-07-17,1687.36,спорт,выполнен
O00289,C0312,2024-07-29,2691.89,электроника,выполнен
O00290,C0060,2024-10-13,133.45,продукты,выполнен
O00291,C0167,2024-06-28,228.03,книги,выполнен
O00292,C0255,2024-09-06,468.34,электроника,возврат
O00293,C0434,2024-08-18,2148.1,красота,выполнен
O00294,C0252,2024-01-23,1018.38,продукты,выполнен
O00295,C0346,2024-02-17,245.72,одежда,возврат
O00296,C0496,2024-04-18,1144.97,спорт,выполнен
O00297,C0069,2024-10-22,320.22,книги,отменён
O00298,C0142,2024-01-06,1334.65,продукты,выполнен
O00299,C0197,2024-02-07,1023.69,спорт,возврат
O00300,C0210,2024-06-17,319.1,продукты,выполнен
O00301,C0206,2024-12-21,630.96,спорт,возврат
O00302,C0446,2024-10-09,1771.79,электроника,отменён
O00303,C0351,2024-07-21,146.4,электроника,выполнен
O00304,C0309,2024-11-20,846.31,электроника,отменён
O00305,C0153,2024-11-08,274.37,одежда,выполнен
O00306,C0404,2024-09-29,656.58,одежда,выполнен
O00307,C0473,2024-08-31,959.31,спорт,выполнен
O00308,C0402,2024-11-22,3329.36,продукты,выполнен
O00309,C0001,2024-02-16,651.29,электроника,отменён
O00310,C0320,2024-09-05,2148.28,электроника,выполнен
O00311,C0031,2024-03-19,339.54,электроника,выполнен
O00312,C0130,2024-04-19,447.64,одежда,выполнен
O00313,C0033,2024-01-13,1063.85,электроника,выполнен
O00314,C0307,2024-12-30,781.65,продукты,выполнен
O00315,C0340,2024-03-30,511.46,одежда,выполнен
O00316,C0060,2024-12-07,500.49,спорт,отменён
O00317,C0190,2024-12-13,1932.63,дом_и_сад,выполнен
O00318,C0230,2024-10-06,528.08,одежда,выполнен
O00319,C0181,2024-08-08,293.92,электроника,выполнен
O00320,C0065,2024-03-13,335.66,одежда,выполнен
O00321,C0209,2024-08-21,1136.74,электроника,отменён
O00322,C0369,2024-09-16,4044.92,электроника,выполнен
O00323,C0038,2024-04-22,437.39,дом_и_сад,выполнен
O00324,C0041,2024-02-15,3710.42,одежда,отменён
O00325,C0171,2024-09-30,659.4,красота,выполнен
O00326,C0465,2024-02-12,531.74,электроника,выполнен
O00327,C0334,2024-07-26,321.11,дом_и_сад,выполнен
O00328,C0337,2024-12-14,567.7,дом_и_сад,выполнен
O00329,C0180,2024-04-12,363.25,одежда,выполнен
O00330,C0304,2024-05-03,340.66,одежда,выполнен
O00331,C0003,2024-01-10,177.39,спорт,выполнен
O00332,C0320,2024-11-24,2732.28,книги,выполнен
O00333,C0453,2024-07-05,1558.55,продукты,выполнен
O00334,C0310,2024-01-31,826.57,электроника,возврат
O00335,C0434,2024-06-04,592.76,одежда,выполнен
O00336,C0355,2024-02-29,662.18,одежда,возврат
O00337,C0064,2024-09-05,357.26,красота,возврат
O00338,C0444,2024-09-26,268.52,дом_и_сад,выполнен
O00339,C0035,2024-08-04,1180.78,электроника,выполнен
O00340,C0267,2024-01-02,539.27,одежда,возврат
O00341,C0073,2024-01-24,863.15,электроника,выполнен
O00342,C0006,2024-07-24,175.92,книги,выполнен
O00343,C0210,2024-11-15,516.8,книги,выполнен
O00344,C0148,2024-07-17,264.36,электроника,выполнен
O00345,C0247,2024-12-21,979.7,продукты,выполнен
O00346,C0293,2024-04-23,1474.72,красота,выполнен
O00347,C0026,2024-10-06,2138.29,электроника,выполнен
O00348,C0066,2024-06-03,402.15,одежда,отменён
O00349,C0282,2024-06-13,269.8,одежда,выполнен
O00350,C0167,2024-08-09,475.86,электроника,отменён
O00351,C0357,2024-03-31,380.14,электроника,выполнен
O00352,C0330,2024-06-15,939.16,красота,возврат
O00353,C0416,2024-07-25,216.54,спорт,выполнен
O00354,C0342,2024-10-08,163.45,одежда,возврат
O00355,C0214,2024-03-05,504.13,одежда,выполнен
O00356,C0335,2024-01-04,1189.4,дом_и_сад,отменён
O00357,C0142,2024-06-05,292.37,одежда,выполнен
O00358,C0153,2024-09-05,1311.98,одежда,отменён
O00359,C0388,2024-09-13,890.93,электроника,выполнен
O00360,C0223,2024-08-22,2292.59,дом_и_сад,отменён
O00361,C0393,2024-11-01,350.09,электроника,возврат
O00362,C0402,2024-03-14,183.98,электроника,выполнен
O00363,C0423,2024-07-05,1073.67,продукты,выполнен
O00364,C0454,2024-03-02,832.06,электроника,отменён
O00365,C0215,2024-12-02,782.11,красота,выполнен
O00366,C0155,2024-06-12,287.65,спорт,выполнен
O00367,C0297,2024-02-25,1236.6,электроника,выполнен
O00368,C0182,2024-04-20,400.72,электроника,выполнен
O00369,C0306,2024-08-05,781.84,спорт,выполнен
O00370,C0347,2024-08-27,460.52,одежда,выполнен
O00371,C0341,2024-01-21,883.16,дом_и_сад,выполнен
O00372,C0182,2024-05-20,255.67,спорт,выполнен
O00373,C0092,2024-09-21,992.02,продукты,выполнен
O00374,C0215,2024-05-18,1125.6,красота,выполнен
O00375,C0073,2024-03-10,729.81,продукты,выполнен
O00376,C0437,2024-04-27,2477.78,продукты,выполнен
O00377,C0168,2024-07-16,785.03,спорт,выполнен
O00378,C0081,2024-07-23,1387.15,книги,выполнен
O00379,C0014,2024-08-01,716.18,спорт,возврат
O00380,C0325,2024-02-25,1291.45,дом_и_сад,выполнен
O00381,C0320,2024-10-13,195.07,одежда,выполнен
O00382,C0165,2024-10-19,682.91,продукты,выполнен
O00383,C0038,2024-06-23,270.01,электроника,возврат
O00384,C0206,2024-12-12,744.22,дом_и_сад,выполнен
O00385,C0154,2024-05-07,904.47,одежда,отменён
O00386,C0336,2024-11-20,1269.02,электроника,выполнен
O00387,C0309,2024-10-18,984.3,красота,выполнен
O00388,C0180,2024-10-14,508.02,одежда,выполнен
O00389,C0115,2024-08-13,363.99,электроника,возврат
O00390,C0494,2024-03-04,102.1,одежда,выполнен
O00391,C0230,2024-02-17,702.81,одежда,отменён
O00392,C0341,2024-07-20,1652.9,продукты,отменён
O00393,C0073,2024-12-02,725.39,электроника,возврат
O00394,C0246,2024-02-29,621.54,электроника,возврат
O00395,C0016,2024-09-13,745.79,одежда,выполнен
O00396,C0255,2024-03-05,487.76,одежда,выполнен
O00397,C0478,2024-08-26,777.41,электроника,выполнен
O00398,C0190,2024-10-15,481.08,продукты,отменён
O00399,C0026,2024-02-07,324.05,одежда,выполнен
O00400,C0021,2024-01-25,626.26,электроника,выполнен
O00401,C0194,2024-02-28,615.43,книги,выполнен
O00402,C0087,2024-12-22,2981.36,книги,отменён
O00403,C0014,2024-10-23,349.13,одежда,отменён
O00404,C0371,2024-06-06,585.49,электроника,выполнен
O00405,C0232,2024-02-26,541.68,спорт,выполнен
O00406,C0146,2024-02-17,464.91,спорт,возврат
O00407,C0441,2024-11-23,1002.73,красота,выполнен
O00408,C0061,2024-02-25,3985.31,одежда,выполнен
O00409,C0474,2024-03-05,514.57,спорт,выполнен
O00410,C0154,2024-09-24,1004.97,книги,возврат
O00411,C0437,2024-03-09,144.04,продукты,возврат
O00412,C0307,2024-08-03,485.5,электроника,выполнен
O00413,C0406,2024-03-29,2308.13,одежда,выполнен
O00414,C0489,2024-10-07,636.52,электроника,выполнен
O00415,C0146,2024-09-13,994.13,электроника,выполнен
O00416,C0477,2024-06-08,404.16,дом_и_сад,отменён
O00417,C0194,2024-08-21,817.33,одежда,выполнен
O00418,C0191,2024-05-10,2455.83,электроника,выполнен
O00419,C0165,2024-02-18,262.94,книги,отменён
O00420,C0269,2024-05-26,3824.69,продукты,возврат
O00421,C0081,2024-11-11,193.11,одежда,выполнен
O00422,C0278,2024-01-02,451.06,одежда,выполнен
O00423,C0269,2024-11-24,340.79,одежда,выполнен
O00424,C0374,2024-05-24,534.87,электроника,выполнен
O00425,C0410,2024-03-01,337.27,книги,выполнен
O00426,C0222,2024-09-29,317.42,электроника,выполнен
O00427,C0151,2024-02-18,257.39,спорт,выполнен
O00428,C0131,2024-11-27,1113.48,электроника,выполнен
O00429,C0104,2024-05-10,549.84,красота,выполнен
O00430,C0032,2024-02-12,446.03,спорт,возврат
O00431,C0167,2024-02-26,833.64,книги,выполнен
O00432,C0138,2024-02-19,201.2,продукты,выполнен
O00433,C0478,2024-06-26,849.88,книги,отменён
O00434,C0282,2024-10-19,617.07,книги,выполнен
O00435,C0168,2024-02-15,632.43,дом_и_сад,выполнен
O00436,C0297,2024-06-18,1007.61,электроника,выполнен
O00437,C0072,2024-09-27,2477.04,электроника,отменён
O00438,C0223,2024-12-01,861.25,электроника,выполнен
O00439,C0315,2024-05-18,566.85,электроника,выполнен
O00440,C0248,2024-09-03,258.24,дом_и_сад,возврат
O00441,C0200,2024-05-27,100.0,спорт,отменён
O00442,C0497,2024-08-17,736.79,продукты,выполнен
O00443,C0436,2024-10-06,242.81,одежда,выполнен
O00444,C0314,2024-05-04,100.0,электроника,возврат
O00445,C0287,2024-07-10,502.35,одежда,выполнен
O00446,C0313,2024-03-20,805.6,продукты,возврат
O00447,C0105,2024-04-03,1206.46,дом_и_сад,выполнен
O00448,C0197,2024-08-13,1554.64,одежда,выполнен
O00449,C0026,2024-03-05,1340.19,дом_и_сад,выполнен
O00450,C0239,2024-03-28,1369.31,продукты,отменён
O00451,C0271,2024-03-28,205.52,книги,выполнен
O00452,C0120,2024-07-19,590.12,одежда,отменён
O00453,C0478,2024-08-01,1057.72,продукты,выполнен
O00454,C0447,2024-07-22,690.28,электроника,выполнен
O00455,C0355,2024-03-29,587.5,одежда,выполнен
O00456,C0267,2024-03-01,680.26,продукты,выполнен
O00457,C0428,2024-09-27,809.51,дом_и_сад,возврат
O00458,C0068,2024-04-03,625.46,электроника,отменён
O00459,C0388,2024-11-02,337.98,одежда,выполнен
O00460,C0066,2024-01-27,170.33,спорт,выполнен
O00461,C0391,2024-08-01,564.97,продукты,возврат
O00462,C0142,2024-03-14,696.44,продукты,выполнен
O00463,C0435,2024-03-01,690.39,книги,возврат
O00464,C0468,2024-07-04,1425.58,продукты,выполнен
O00465,C0076,2024-01-31,1643.34,спорт,выполнен
O00466,C0236,2024-08-06,612.03,спорт,выполнен
O00467,C0488,2024-01-12,615.55,книги,отменён
O00468,C0243,2024-10-28,1052.06,спорт,отменён
O00469,C0425,2024-02-01,935.65,электроника,выполнен
O00470,C0299,2024-06-08,466.82,одежда,отменён
O00471,C0183,2024-08-24,1126.88,красота,выполнен
O00472,C0146,2024-08-14,591.64,электроника,выполнен
O00473,C0107,2024-06-29,601.79,спорт,выполнен
O00474,C0374,2024-11-12,940.95,книги,выполнен
O00475,C0191,2024-02-15,522.73,спорт,выполнен
O00476,C0256,2024-12-06,717.47,одежда,выполнен
O00477,C0251,2024-03-20,843.9,электроника,выполнен
O00478,C0293,2024-05-14,1278.88,одежда,выполнен
O00479,C0426,2024-09-16,1210.17,электроника,возврат
O00480,C0488,2024-11-03,823.56,красота,выполнен
O00481,C0201,2024-09-03,100.0,дом_и_сад,выполнен
O00482,C0406,2024-06-07,808.1,дом_и_сад,возврат
O00483,C0374,2024-07-21,914.44,продукты,выполнен
O00484,C0292,2024-04-21,1075.72,электроника,выполнен
O00485,C0474,2024-10-18,309.57,одежда,возврат
O00486,C0105,2024-11-05,121.79,одежда,возврат
O00487,C0055,2024-04-28,1267.67,продукты,выполнен
O00488,C0419,2024-01-17,249.73,продукты,выполнен
O00489,C0221,2024-11-26,1768.23,продукты,отменён
O00490,C0417,2024-08-14,418.67,продукты,выполнен
O00491,C0439,2024-12-26,292.44,красота,возврат
O00492,C0034,2024-04-26,879.8,одежда,выполнен
O00493,C0436,2024-02-12,1088.92,спорт,выполнен
O00494,C0224,2024-04-24,1038.22,одежда,выполнен
