customer_id,канал_привлечения,дата_регистрации,cac
C0111,платная_реклама,2024-05-14,963.34
C0112,органический,2024-07-19,230.93
C0113,email,2024-11-23,201.45
C0114,органический,2024-09-24,253.11
C0115,социальные_сети,2024-02-02,445.55
C0116,органический,2024-02-17,231.65
C0117,социальные_сети,2024-03-02,316.81
C0118,органический,2024-08-03,197.1
C0119,email,2024-10-19,182.74
C0120,платная_реклама,2024-04-08,826.77
C0121,социальные_сети,2024-06-20,553.6
C0122,органический,2024-12-25,189.34
C0123,реферальный,2024-08-01,440.33
C0124,социальные_сети,2024-02-04,490.35
C0125,платная_реклама,2024-08-14,706.91
C0126,реферальный,2024-04-10,420.92
C0127,реферальный,2024-05-10,237.59
C0128,платная_реклама,2024-09-13,900.21
C0129,реферальный,2024-01-05,266.6
C0130,реферальный,2024-08-05,452.23
C0131,социальные_сети,2024-09-11,468.68
C0132,органический,2024-12-24,206.75
C0133,органический,2024-10-09,220.63
C0134,социальные_сети,2024-07-25,268.44
C0135,email,2024-01-15,123.98
C0136,платная_реклама,2024-12-11,1008.71
C0137,реферальный,2024-02-11,419.42
C0138,органический,2024-06-27,214.15
C0139,органический,2024-03-03,132.53
C0140,платная_реклама,2024-12-17,917.1
C0141,платная_реклама,2024-08-18,942.68
C0142,реферальный,2024-08-28,353.76
C0143,органический,2024-02-21,261.16
C0144,социальные_сети,2024-04-05,417.99
C0145,социальные_сети,2024-08-09,438.82
C0146,реферальный,2024-08-18,151.23
C0147,платная_реклама,2024-08-24,983.97
C0148,платная_реклама,2024-05-22,862.77
C0149,email,2024-06-19,82.73
C0150,реферальный,2024-01-29,209.31
C0151,органический,2024-02-05,156.37
C0152,социальные_сети,2024-01-13,595.24
C0153,email,2024-06-08,137.99
C0154,социальные_сети,2024-11-22,403.43
C0155,реферальный,2024-07-05,269.51
C0156,реферальный,2024-08-30,265.93
C0157,платная_реклама,2024-03-26,413.26
C0158,социальные_сети,2024-10-10,355.11
C0159,email,2024-03-06,107.18
C0160,органический,2024-06-18,234.13
C0161,органический,2024-02-14,191.71
C0162,платная_реклама,2024-03-02,634.88
C0163,email,2024-05-13,242.39
C0164,социальные_сети,2024-10-10,420.33
C0165,органический,2024-01-28,258.36
C0166,реферальный,2024-04-17,479.69
C0167,платная_реклама,2024-02-13,486.01
C0168,социальные_сети,2024-12-05,508.88
C0169,email,2024-10-12,129.3
C0170,email,2024-11-26,126.04
C0171,платная_реклама,2024-05-07,911.08
C0172,платная_реклама,2024-12-13,675.43
C0173,органический,2024-08-18,175.2
C0174,органический,2024-07-08,191.59
C0175,email,2024-08-12,135.06
C0176,email,2024-10-09,103.06
C0177,социальные_сети,2024-04-30,595.51
C0178,социальные_сети,2024-04-25,625.82
C0179,реферальный,2024-08-20,377.49
C0180,email,2024-09-15,134.94
C0181,социальные_сети,2024-12-24,415.37
C0182,email,2024-07-16,121.86
C0183,органический,2024-05-16,317.87
C0184,платная_реклама,2024-11-13,987.57
C0185,органический,2024-06-13,157.99
C0186,социальные_сети,2024-08-12,519.76
C0187,реферальный,2024-11-02,321.0
C0188,органический,2024-08-21,229.19
C0189,реферальный,2024-06-20,393.48
C0190,реферальный,2024-05-31,436.69
C0191,платная_реклама,2024-11-10,629.89
C0192,органический,2024-06-08,205.24
C0193,реферальный,2024-04-05,210.12
C0194,платная_реклама,2024-08-20,548.53
C0195,email,2024-06-28,185.36
C0196,платная_реклама,2024-04-22,609.86
C0197,email,2024-11-13,116.36
C0198,реферальный,2024-02-21,349.34
C0199,реферальный,2024-09-24,405.58
C0200,email,2024-10-21,107.57
C0201,платная_реклама,2024-04-22,103.84
C0202,органический,2024-04-10,156.49
C0203,органический,2024-04-22,260.28
C0204,email,2024-03-21,163.73
C0205,реферальный,2024-07-05,455.91
C0206,реферальный,2024-04-22,259.45
C0207,органический,2024-01-02,118.03
C0208,органический,2024-05-09,223.13
C0209,органический,2024-08-07,212.0
C0210,платная_реклама,2024-02-23,861.11
C0211,реферальный,2024-12-08,424.64
C0212,платная_реклама,2024-08-11,884.34
C0213,платная_реклама,2024-08-12,881.12
C0214,социальные_сети,2024-05-05,585.8
C0215,платная_реклама,2024-05-09,900.48
C0216,платная_реклама,2024-02-22,971.49
C0217,email,2024-06-20,190.34
C0218,платная_реклама,2024-08-05,1106.34
C0219,реферальный,2024-06-08,298.06
C0220,email,2024-07-16,169.22
C0221,социальные_сети,2024-09-03,455.56
C0222,органический,2024-11-19,158.32
C0223,социальные_сети,2024-07-21,417.26
C0224,платная_реклама,2024-07-02,898.99
C0225,органический,2024-05-02,220.91
C0226,платная_реклама,2024-09-11,880.08
C0227,социальные_сети,2024-10-20,472.91
C0228,платная_реклама,2024-10-06,800.68
C0229,платная_реклама,2024-11-20,963.55
C0230,реферальный,2024-04-07,230.85
C0231,органический,2024-07-16,201.23
C0232,органический,2024-08-27,204.5
C0233,органический,2024-05-23,237.67
C0234,органический,2024-04-06,132.49
C0235,органический,2024-07-19,274.76
C0236,органический,2024-05-03,210.68
C0237,реферальный,2024-07-05,371.33
C0238,органический,2024-11-21,179.93
C0239,платная_реклама,2024-12-14,907.6
C0240,email,2024-09-15,151.92
C0241,платная_реклама,2024-05-27,1041.8
C0242,реферальный,2024-09-08,234.68
C0243,органический,2024-12-11,208.78
C0244,органический,2024-05-26,220.43
C0245,органический,2024-05-27,190.68
C0246,органический,2024-12-17,179.77
C0247,органический,2024-07-17,181.85
C0248,органический,2024-11-03,208.73
C0249,органический,2024-05-07,109.5
C0250,органический,2024-02-08,248.25
C0251,платная_реклама,2024-12-03,703.97
C0252,органический,2024-12-25,206.39
C0253,платная_реклама,2024-05-08,873.42
C0254,платная_реклама,2024-09-23,694.84
C0255,реферальный,2024-05-30,339.52
C0256,органический,2024-10-24,98.24
C0257,email,2024-04-08,179.28
C0258,реферальный,2024-09-19,436.41
C0259,органический,2024-09-08,114.95
C0260,email,2024-05-23,133.74
C0261,социальные_сети,2024-12-11,352.42
C0262,органический,2024-04-21,191.11
C0263,органический,2024-02-29,232.43
C0264,email,2024-01-02,189.49
C0265,реферальный,2024-10-30,439.75
C0266,органический,2024-09-10,265.53
C0267,органический,2024-05-19,188.88
C0268,платная_реклама,2024-02-06,570.61
C0269,платная_реклама,2024-06-08,777.08
C0270,реферальный,2024-01-09,400.66
C0271,платная_реклама,2024-08-20,554.55
C0272,платная_реклама,2024-04-08,1132.03
C0273,реферальный,2024-05-26,421.83
C0274,органический,2024-10-30,189.67
C0275,органический,2024-07-26,164.46
C0276,реферальный,2024-05-10,296.47
C0277,email,2024-05-31,152.97
C0278,платная_реклама,2024-02-23,754.12
C0279,платная_реклама,2024-04-29,990.1
C0280,органический,2024-06-09,182.85
C0281,платная_реклама,2024-04-25,901.1
C0282,платная_реклама,2024-03-15,794.22
C0283,органический,2024-04-22,213.48
C0284,органический,2024-04-13,188.5
C0285,платная_реклама,2024-12-05,941.54
C0286,органический,2024-09-10,236.13
C0287,платная_реклама,2024-08-14,891.99
C0288,органический,2024-04-21,230.38
C0289,платная_реклама,2024-04-08,611.13
C0290,органический,2024-06-01,216.16
C0291,email,2024-12-14,199.97
C0292,реферальный,2024-12-03,389.31
C0293,реферальный,2024-07-12,267.54
C0294,email,2024-11-05,148.01
C0295,платная_реклама,2024-06-11,875.0
C0296,органический,2024-07-26,162.13
C0297,платная_реклама,2024-06-17,528.35
C0298,реферальный,2024-06-09,324.71
C0299,реферальный,2024-03-08,290.73
C0300,платная_реклама,2024-10-15,797.14
C0301,органический,2024-10-03,120.43
C0302,органический,2024-10-30,228.24
C0303,платная_реклама,2024-05-14,673.08
C0304,реферальный,2024-07-13,429.66
C0305,реферальный,2024-05-07,327.85
C0306,платная_реклама,2024-02-02,794.92
C0307,социальные_сети,2024-06-24,479.24
C0308,реферальный,2024-01-22,294.95
C0309,органический,2024-08-25,323.61
C0310,органический,2024-06-06,175.21
C0311,органический,2024-02-07,251.18
C0312,органический,2024-08-17,145.32
C0313,органический,2024-12-30,218.61
C0314,органический,2024-02-20,223.94
C0315,органический,2024-09-20,198.79
C0316,органический,2024-10-09,171.45
C0317,email,2024-01-27,139.47
C0318,органический,2024-08-13,179.84
C0319,платная_реклама,2024-10-03,1280.41
C0320,платная_реклама,2024-10-12,795.48
C0321,социальные_сети,2024-04-06,562.99
C0322,органический,2024-10-10,289.08
C0323,платная_реклама,2024-11-12,624.74
C0324,социальные_сети,2024-10-30,504.52
C0325,email,2024-05-26,139.23
C0326,email,2024-01-04,146.55
C0327,органический,2024-02-04,191.05
C0328,органический,2024-07-10,163.41
C0329,реферальный,2024-02-18,365.63
C0330,социальные_сети,2024-01-17,372.48
C0331,реферальный,2024-06-20,429.11
C0332,реферальный,2024-08-07,399.86
C0333,органический,2024-06-06,175.33
C0334,email,2024-02-15,132.2
C0335,органический,2024-01-06,213.78
C0336,платная_реклама,2024-04-08,640.29
C0337,платная_реклама,2024-08-20,1162.4
C0338,платная_реклама,2024-02-06,871.59
C0339,органический,2024-10-06,219.66
C0340,органический,2024-12-14,234.07
C0341,реферальный,2024-10-28,303.64
C0342,органический,2024-06-29,254.45
C0343,реферальный,2024-04-04,359.16
C0344,органический,2024-04-08,247.51
C0345,платная_реклама,2024-07-06,760.41
C0346,платная_реклама,2024-04-25,1063.46
C0347,органический,2024-07-09,220.07
C0348,платная_реклама,2024-09-09,1236.5
C0349,органический,2024-06-09,181.52
C0350,органический,2024-09-12,210.23
C0351,социальные_сети,2024-11-18,376.21
C0352,платная_реклама,2024-05-07,694.14
C0353,email,2024-01-18,174.75
C0354,органический,2024-10-07,256.47
C0355,реферальный,2024-08-10,587.2
C0356,email,2024-02-23,146.13
C0357,реферальный,2024-02-27,275.34
C0358,платная_реклама,2024-11-18,950.67
C0359,платная_реклама,2024-12-25,574.43
C0360,платная_реклама,2024-06-22,912.86
C0361,социальные_сети,2024-10-06,439.73
C0362,email,2024-04-23,158.46
C0363,социальные_сети,2024-10-14,630.93
C0364,органический,2024-12-07,194.46
C0365,реферальный,2024-05-30,424.63
C0366,социальные_сети,2024-05-06,604.78
C0367,органический,2024-06-03,106.78
C0368,органический,2024-09-29,154.92
C0369,реферальный,2024-04-13,225.06
C0370,реферальный,2024-10-25,510.14
C0371,email,2024-09-02,145.78
C0372,органический,2024-06-24,289.04
C0373,email,2024-02-08,84.68
C0374,органический,2024-06-18,171.36
C0375,органический,2024-09-03,240.02
C0376,органический,2024-01-26,208.96
C0377,email,2024-12-20,171.31
C0378,реферальный,2024-11-01,249.7
C0379,платная_реклама,2024-01-13,1075.36
C0380,платная_реклама,2024-11-11,955.4
C0381,email,2024-11-08,166.07
C0382,платная_реклама,2024-02-05,662.88
C0383,email,2024-06-21,162.95
C0384,платная_реклама,2024-01-20,741.7
C0385,платная_реклама,2024-11-16,469.9
C0386,платная_реклама,2024-09-20,789.92
C0387,платная_реклама,2024-05-21,768.65
C0388,реферальный,2024-05-22,434.99
C0389,платная_реклама,2024-04-01,353.11
C0390,органический,2024-12-19,211.76
C0391,email,2024-11-17,103.78
C0392,платная_реклама,2024-10-14,863.84
C0393,платная_реклама,2024-08-02,874.86
C0394,социальные_сети,2024-12-07,489.58
C0395,реферальный,2024-02-20,414.58
C0396,органический,2024-06-01,137.71
C0397,социальные_сети,2024-07-04,632.93
C0398,реферальный,2024-03-03,293.35
C0399,платная_реклама,2024-07-08,488.82
C0400,органический,2024-05-04,186.38
C0401,email,2024-05-29,66.19
C0402,реферальный,2024-11-09,370.33
C0403,платная_реклама,2024-02-27,748.15
C0404,email,2024-12-07,199.35
C0405,email,2024-10-31,175.96
C0406,органический,2024-06-28,130.4
C0407,платная_реклама,2024-06-18,632.32
C0408,органический,2024-11-21,226.03
C0409,реферальный,2024-09-27,417.77
C0410,органический,2024-02-23,261.13
C0411,реферальный,2024-04-10,447.16
C0412,email,2024-09-20,146.42
C0413,email,2024-02-22,164.51
C0414,платная_реклама,2024-02-29,1059.75
C0415,email,2024-04-17,137.87
C0416,органический,2024-01-05,218.99
C0417,email,2024-04-12,136.92
C0418,органический,2024-07-14,172.45
C0419,платная_реклама,2024-09-18,809.68
C0420,email,2024-12-30,122.5
C0421,органический,2024-12-15,193.45
C0422,органический,2024-02-16,148.25
C0423,реферальный,2024-12-20,334.8
C0424,реферальный,2024-11-06,385.87
C0425,реферальный,2024-11-03,302.9
C0426,реферальный,2024-05-23,350.74
C0427,платная_реклама,2024-09-25,827.87
C0428,органический,2024-05-03,222.63
C0429,платная_реклама,2024-04-15,773.28
C0430,органический,2024-06-06,254.29
C0431,социальные_сети,2024-05-26,247.89
C0432,реферальный,2024-05-24,585.02
C0433,платная_реклама,2024-04-29,625.77
C0434,платная_реклама,2024-11-14,880.68
C0435,социальные_сети,2024-10-01,387.38
C0436,органический,2024-04-01,232.21
C0437,реферальный,2024-02-27,372.13
C0438,платная_реклама,2024-12-11,669.86
C0439,реферальный,2024-08-16,435.85
C0440,органический,2024-04-26,191.8
C0441,email,2024-11-13,171.89
C0442,социальные_сети,2024-10-05,389.94
C0443,реферальный,2024-05-06,347.53
C0444,реферальный,2024-05-08,510.27
C0445,социальные_сети,2024-02-27,615.56
C0446,реферальный,2024-05-01,374.61
C0447,органический,2024-01-01,177.55
C0448,реферальный,2024-08-26,355.4
C0449,реферальный,2024-10-16,365.81
C0450,платная_реклама,2024-04-05,889.85
C0451,реферальный,2024-05-05,263.87
C0452,социальные_сети,2024-04-27,580.21
C0453,социальные_сети,2024-02-17,369.25
C0454,платная_реклама,2024-03-29,1126.23
C0455,органический,2024-08-24,161.42
C0456,социальные_сети,2024-09-28,535.6
C0457,email,2024-07-07,190.21
C0458,органический,2024-07-10,187.38
C0459,социальные_сети,2024-03-09,540.87
C0460,email,2024-10-04,207.41
C0461,платная_реклама,2024-12-14,912.88
C0462,реферальный,2024-09-03,378.44
C0463,платная_реклама,2024-03-16,463.04
C0464,органический,2024-06-02,153.31
C0465,платная_реклама,2024-05-23,1009.38
C0466,email,2024-03-26,172.8
C0467,органический,2024-07-03,236.07
C0468,платная_реклама,2024-10-11,927.08
C0469,платная_реклама,2024-08-07,1057.95
C0470,платная_реклама,2024-03-09,747.72
C0471,социальные_сети,2024-02-16,514.46
C0472,платная_реклама,2024-04-03,594.27
C0473,платная_реклама,2024-08-25,544.4
C0474,реферальный,2024-07-22,218.5
C0475,платная_реклама,2024-08-05,622.97
C0476,органический,2024-12-06,277.63
C0477,платная_реклама,2024-02-08,489.45
C0478,органический,2024-04-09,184.82
C0479,органический,2024-10-15,135.34
C0480,платная_реклама,2024-09-10,679.81
C0481,платная_реклама,2024-08-09,833.94
C0482,социальные_сети,2024-12-22,415.99
C0483,платная_реклама,2024-01-23,1017.93
C0484,реферальный,2024-09-06,472.72
C0485,реферальный,2024-01-10,170.07
C0486,органический,2024-09-02,165.85
C0487,реферальный,2024-11-20,354.73
C0488,органический,2024-04-09,256.31
C0489,социальные_сети,2024-10-16,445.49
C0490,органический,2024-06-28,199.0
C0491,платная_реклама,2024-08-10,568.65
C0492,органический,2024-09-06,123.36
C0493,социальные_сети,2024-05-26,673.45
C0494,платная_реклама,2024-04-05,435.19
C0495,реферальный,2024-09-13,536.29
C0496,органический,2024-11-20,236.26
C0497,реферальный,2024-01-04,404.4
C0498,органический,2024-01-16,228.77
C0499,email,2024-10-06,139.89
C0500,органический,2024-12-01,219.6
