campaign_id,канал,бюджет,показы,клики,конверсии,выручка,дата_начала
CAMP_0120,Facebook,12764.4,1127782,43379,4123,10817.35,2024-08-06
CAMP_0121,Facebook,10768.89,853976,34322,3115,11384.79,2024-08-08
CAMP_0122,Email,5911.84,981203,55797,8007,8934.43,2024-08-09
CAMP_0123,TikTok,11220.9,1977770,78586,2656,12284.1,2024-08-11
CAMP_0124,Instagram,8043.77,639275,29260,2556,6392.5,2024-08-13
CAMP_0125,Google Ads,12224.0,1580090,100828,7602,14954.1,2024-08-15
CAMP_0126,Email,3468.15,595512,36971,6005,5710.59,2024-08-17
CAMP_0127,TikTok,9950.6,1081908,53022,2410,11930.98,2024-08-19
CAMP_0128,Email,4931.62,353749,20317,2555,14321.21,2024-08-20
CAMP_0129,TikTok,10851.51,1115022,51926,3990,11052.4,2024-08-22
CAMP_0130,TikTok,9379.79,832855,46702,3452,9908.34,2024-08-24
CAMP_0131,Instagram,6392.49,1022494,42435,3245,8758.61,2024-08-26
CAMP_0132,TikTok,5777.5,533979,26622,2311,4923.05,2024-08-28
CAMP_0133,Email,4584.65,800886,43845,5741,4980.85,2024-08-30
CAMP_0134,TikTok,11070.56,813938,31795,1610,10437.81,2024-08-31
CAMP_0135,Instagram,18407.09,1530779,63946,5472,20322.03,2024-09-02
CAMP_0136,Instagram,6932.88,815032,34538,2416,7333.85,2024-09-04
CAMP_0137,Email,6483.32,925990,56701,9525,25093.03,2024-09-06
CAMP_0138,Facebook,12238.52,1012233,31916,2804,14101.43,2024-09-08
CAMP_0139,Facebook,16198.21,2792242,91160,7501,19316.72,2024-09-10
CAMP_0140,TikTok,14225.78,1385984,59747,3740,13950.97,2024-09-11
CAMP_0141,Google Ads,11742.91,856032,34379,2728,13746.31,2024-09-13
CAMP_0142,TikTok,7926.94,751109,53646,2753,8426.32,2024-09-15
CAMP_0143,Email,5057.01,722901,40627,5279,13170.6,2024-09-17
CAMP_0144,Email,6636.57,540803,29145,3798,11189.91,2024-09-19
CAMP_0145,Email,2657.29,216875,16269,2628,3837.72,2024-09-21
CAMP_0146,Email,2550.57,233493,11504,1950,4226.33,2024-09-22
CAMP_0147,Email,5602.44,397608,19142,2469,7559.13,2024-09-24
CAMP_0148,Instagram,11133.3,1121994,43853,4423,11627.71,2024-09-26
CAMP_0149,Facebook,3062.29,280185,11306,822,2701.1,2024-09-28
CAMP_0150,Email,6210.94,752667,32020,4183,9328.68,2024-09-30
CAMP_0151,Google Ads,7220.51,1259031,53226,5404,7636.06,2024-10-02
CAMP_0152,Google Ads,13703.75,1830304,104943,13644,18877.37,2024-10-03
CAMP_0153,Google Ads,19235.4,1973608,112939,12156,25285.05,2024-10-05
CAMP_0154,Google Ads,13483.46,2203468,107523,10598,16779.04,2024-10-07
CAMP_0155,Instagram,9541.79,665455,21061,1928,12586.77,2024-10-09
CAMP_0156,Google Ads,19581.64,2050992,99401,5763,33105.95,2024-10-11
CAMP_0157,Email,6662.27,949240,42336,6161,9010.01,2024-10-13
CAMP_0158,TikTok,7427.95,622823,32495,2254,9288.74,2024-10-14
CAMP_0159,Google Ads,16005.5,3017700,167502,17412,21085.39,2024-10-16
CAMP_0160,Instagram,12235.56,1368838,41845,3120,14003.52,2024-10-18
CAMP_0161,Instagram,9775.52,713149,32296,3126,12857.51,2024-10-20
CAMP_0162,Google Ads,13779.22,1666102,91037,11009,18402.04,2024-10-22
CAMP_0163,TikTok,7107.31,539317,34385,2489,10318.54,2024-10-24
CAMP_0164,Google Ads,8609.89,720211,20571,1649,7981.29,2024-10-25
CAMP_0165,Instagram,5473.99,954994,34370,4222,6850.55,2024-10-27
CAMP_0166,Facebook,3003.62,220314,6867,206,7707.41,2024-10-29
CAMP_0167,Email,2915.64,269923,10404,1941,4544.82,2024-10-31
CAMP_0168,Instagram,12081.64,830054,41946,3563,14000.36,2024-11-02
CAMP_0169,Google Ads,11230.18,1139111,48062,3969,12379.69,2024-11-04
CAMP_0170,Email,5269.84,649549,44766,7623,8252.37,2024-11-05
CAMP_0171,Google Ads,10087.56,1480962,63316,5104,13443.25,2024-11-07
CAMP_0172,Google Ads,11993.16,1123678,54158,6929,14856.27,2024-11-09
CAMP_0173,Facebook,12500.9,861297,29030,3022,13845.94,2024-11-11
CAMP_0174,Email,3947.01,355272,17184,2800,5545.02,2024-11-13
CAMP_0175,Email,3134.21,244759,11765,1836,4281.11,2024-11-15
CAMP_0176,Facebook,9306.04,828042,33775,4203,8043.46,2024-11-16
CAMP_0177,Instagram,12218.22,1704693,78651,9004,16415.29,2024-11-18
CAMP_0178,Google Ads,12212.54,1115834,34927,3712,15261.86,2024-11-20
CAMP_0179,TikTok,5588.98,602130,39976,3578,6235.1,2024-11-22
CAMP_0180,Google Ads,17844.92,2305066,141263,11016,20402.18,2024-11-24
CAMP_0181,Google Ads,15170.42,2672671,99691,8729,20559.04,2024-11-26
CAMP_0182,Instagram,11158.08,1080206,54372,3618,10209.42,2024-11-27
CAMP_0183,Google Ads,23362.86,2420506,119065,12136,26817.46,2024-11-29
CAMP_0184,Facebook,14155.02,2019452,58146,3587,15035.35,2024-12-01
CAMP_0185,Facebook,9057.88,777559,39158,2714,7598.91,2024-12-03
CAMP_0186,Email,6819.65,667965,37684,4711,10119.0,2024-12-05
CAMP_0187,TikTok,8400.62,655260,31763,1543,6859.43,2024-12-07
CAMP_0188,Google Ads,5818.97,648728,32488,4649,6286.13,2024-12-08
CAMP_0189,Google Ads,14969.65,1003221,53556,4943,19753.88,2024-12-10
CAMP_0190,Instagram,10286.4,1168082,47904,4855,12240.19,2024-12-12
CAMP_0191,Facebook,11300.16,1677765,51075,3027,14090.85,2024-12-14
CAMP_0192,TikTok,11257.69,1779801,97438,11624,10187.97,2024-12-16
CAMP_0193,Email,5015.53,558110,23374,3098,6525.97,2024-12-18
CAMP_0194,Facebook,12226.6,834112,36114,1587,11652.2,2024-12-19
CAMP_0195,Email,3591.0,314771,16858,2542,4516.13,2024-12-21
CAMP_0196,Instagram,9252.95,1657748,94337,7426,9607.9,2024-12-23
CAMP_0197,Instagram,7853.09,658727,25674,2318,7779.98,2024-12-25
CAMP_0198,Google Ads,17184.69,2131424,121291,13340,27380.41,2024-12-27
CAMP_0199,TikTok,3899.36,449360,21457,2020,3519.19,2024-12-29
CAMP_0200,Email,4135.23,796474,23169,3643,5502.07,2024-12-31
