client_id,возраст,доход,образование,семейное_положение,месяцев_на_обслуживании,кредитный_лимит
221,54,66976,Высшее,Женат/Замужем,114,23000
222,50,41448,Среднее специальное,Женат/Замужем,96,16000
223,68,74556,Высшее,Разведён/Разведена,31,40000
224,59,42149,Высшее,Разведён/Разведена,87,31000
225,61,75169,Высшее,Женат/Замужем,40,43000
226,41,73533,Магистратура,Женат/Замужем,33,47000
227,32,66396,Высшее,Холост/Не замужем,63,31000
228,71,83423,Среднее,Женат/Замужем,25,48000
229,49,46048,Среднее специальное,Женат/Замужем,36,24000
230,49,35286,Среднее специальное,Холост/Не замужем,24,22000
231,41,27396,Среднее специальное,Разведён/Разведена,95,8000
232,58,19906,Высшее,Женат/Замужем,58,10000
233,69,81207,Среднее специальное,Вдовец/Вдова,39,36000
234,66,66857,Среднее специальное,Холост/Не замужем,46,30000
235,66,82038,Среднее,Женат/Замужем,77,64000
236,69,92220,Среднее,Женат/Замужем,10,36000
237,29,40298,Среднее специальное,Холост/Не замужем,87,18000
238,56,62589,Среднее специальное,Женат/Замужем,82,34000
239,19,23835,Высшее,Холост/Не замужем,32,17000
240,20,26408,Высшее,Холост/Не замужем,97,13000
241,66,79327,Среднее специальное,Холост/Не замужем,36,53000
242,54,56184,Высшее,Холост/Не замужем,28,40000
243,66,63614,Высшее,Женат/Замужем,16,28000
244,73,73725,Среднее специальное,Холост/Не замужем,16,36000
245,34,56094,Среднее,Женат/Замужем,18,26000
246,66,58010,Высшее,Женат/Замужем,8,41000
247,19,29802,Высшее,Женат/Замужем,106,9000
248,19,34479,Среднее специальное,Разведён/Разведена,80,15000
249,45,69003,Среднее специальное,Женат/Замужем,119,44000
250,71,68810,Магистратура,Женат/Замужем,120,40000
251,40,36832,Среднее специальное,Холост/Не замужем,75,19000
252,54,51534,Среднее специальное,Женат/Замужем,70,29000
253,49,70595,Магистратура,Разведён/Разведена,1,28000
254,50,86099,Магистратура,Женат/Замужем,62,44000
255,18,15000,Высшее,Холост/Не замужем,76,8000
256,36,27970,Высшее,Женат/Замужем,38,20000
257,19,28268,Среднее специальное,Женат/Замужем,92,12000
258,70,73264,Среднее,Женат/Замужем,45,53000
259,61,76204,Высшее,Женат/Замужем,58,47000
260,43,36633,Среднее,Холост/Не замужем,81,11000
261,49,38853,Высшее,Разведён/Разведена,1,25000
262,23,36071,Магистратура,Холост/Не замужем,32,11000
263,49,50923,Аспирантура,Холост/Не замужем,8,40000
264,72,87100,Среднее специальное,Женат/Замужем,118,64000
265,21,39710,Высшее,Холост/Не замужем,40,17000
266,72,81530,Высшее,Холост/Не замужем,56,34000
267,28,36432,Магистратура,Холост/Не замужем,63,17000
268,73,109333,Среднее специальное,Женат/Замужем,107,52000
269,34,30233,Среднее,Разведён/Разведена,110,14000
270,55,68762,Среднее специальное,Разведён/Разведена,88,31000
271,41,29354,Высшее,Женат/Замужем,74,17000
272,22,17097,Высшее,Холост/Не замужем,111,6000
273,69,61689,Магистратура,Женат/Замужем,103,44000
274,51,80839,Высшее,Женат/Замужем,103,57000
275,23,37958,Среднее специальное,Холост/Не замужем,74,20000
276,39,37942,Высшее,Холост/Не замужем,36,27000
277,28,43616,Среднее,Холост/Не замужем,89,18000
278,65,68127,Магистратура,Женат/Замужем,114,21000
279,33,34620,Магистратура,Женат/Замужем,57,21000
280,50,34650,Аспирантура,Разведён/Разведена,74,18000
281,26,57978,Магистратура,Холост/Не замужем,83,33000
282,23,37147,Среднее специальное,Холост/Не замужем,110,27000
283,33,74606,Среднее,Женат/Замужем,45,58000
284,46,66504,Высшее,Женат/Замужем,79,41000
285,20,39869,Магистратура,Холост/Не замужем,80,27000
286,37,38671,Среднее специальное,Холост/Не замужем,2,13000
287,53,41569,Среднее,Холост/Не замужем,93,15000
288,36,41134,Магистратура,Холост/Не замужем,68,27000
289,43,33135,Среднее,Холост/Не замужем,117,17000
290,20,41352,Высшее,Вдовец/Вдова,50,21000
291,36,68889,Высшее,Женат/Замужем,29,31000
292,37,41286,Среднее специальное,Женат/Замужем,95,24000
293,49,68967,Среднее,Женат/Замужем,81,27000
294,24,24461,Магистратура,Холост/Не замужем,10,15000
295,69,66262,Высшее,Холост/Не замужем,27,25000
296,58,49775,Аспирантура,Женат/Замужем,117,16000
297,50,23603,Высшее,Женат/Замужем,105,10000
298,57,60651,Среднее,Холост/Не замужем,15,25000
299,56,62326,Высшее,Женат/Замужем,60,46000
300,35,59587,Высшее,Женат/Замужем,108,19000
301,57,73131,Среднее специальное,Холост/Не замужем,31,28000
302,18,42134,Магистратура,Холост/Не замужем,21,24000
303,28,23389,Среднее специальное,Женат/Замужем,60,12000
304,45,58492,Среднее специальное,Женат/Замужем,58,18000
305,74,98538,Среднее,Холост/Не замужем,41,29000
306,42,54898,Высшее,Холост/Не замужем,46,43000
307,67,96628,Высшее,Женат/Замужем,45,60000
308,40,77884,Высшее,Холост/Не замужем,26,37000
309,48,49972,Высшее,Женат/Замужем,102,26000
310,47,42745,Магистратура,Женат/Замужем,51,18000
311,59,51378,Среднее специальное,Холост/Не замужем,36,24000
312,52,34457,Среднее,Холост/Не замужем,52,21000
313,24,27023,Среднее,Женат/Замужем,81,20000
314,33,60114,Среднее специальное,Холост/Не замужем,51,23000
315,43,16939,Высшее,Холост/Не замужем,3,12000
316,65,52038,Высшее,Женат/Замужем,14,18000
317,74,72893,Магистратура,Холост/Не замужем,49,29000
318,69,57642,Среднее специальное,Женат/Замужем,77,18000
319,66,60490,Высшее,Холост/Не замужем,105,22000
320,19,23115,Высшее,Женат/Замужем,91,17000
321,18,26136,Среднее,Холост/Не замужем,1,13000
322,65,56658,Высшее,Вдовец/Вдова,57,19000
323,29,26631,Аспирантура,Женат/Замужем,17,20000
324,22,47214,Высшее,Холост/Не замужем,112,34000
325,54,74544,Магистратура,Женат/Замужем,50,50000
326,49,34091,Высшее,Женат/Замужем,98,26000
327,72,31806,Среднее специальное,Женат/Замужем,14,13000
328,26,52350,Высшее,Разведён/Разведена,118,37000
329,58,43567,Среднее специальное,Женат/Замужем,119,28000
330,52,60391,Среднее,Холост/Не замужем,59,44000
331,36,20914,Высшее,Женат/Замужем,81,14000
332,65,87066,Магистратура,Холост/Не замужем,3,41000
333,33,80155,Высшее,Женат/Замужем,98,55000
334,20,34342,Высшее,Женат/Замужем,40,14000
335,37,43788,Магистратура,Холост/Не замужем,89,20000
336,41,43567,Магистратура,Холост/Не замужем,66,15000
337,71,84126,Высшее,Женат/Замужем,34,64000
338,73,82515,Среднее специальное,Женат/Замужем,90,36000
339,50,70652,Магистратура,Женат/Замужем,95,39000
340,41,38981,Среднее специальное,Холост/Не замужем,9,19000
341,69,75901,Высшее,Женат/Замужем,94,59000
342,28,29862,Среднее,Холост/Не замужем,84,13000
343,66,52534,Высшее,Холост/Не замужем,21,36000
344,25,34984,Среднее специальное,Холост/Не замужем,93,25000
345,53,44162,Высшее,Холост/Не замужем,25,22000
346,55,77205,Высшее,Женат/Замужем,102,37000
347,57,48271,Среднее специальное,Вдовец/Вдова,44,32000
348,37,50653,Высшее,Женат/Замужем,25,38000
349,52,48148,Магистратура,Холост/Не замужем,9,32000
350,65,71755,Аспирантура,Женат/Замужем,103,29000
351,42,41340,Среднее специальное,Женат/Замужем,62,30000
352,52,38341,Высшее,Холост/Не замужем,108,18000
353,42,56456,Высшее,Разведён/Разведена,26,33000
354,46,48868,Высшее,Женат/Замужем,57,34000
355,35,47889,Среднее,Вдовец/Вдова,37,18000
356,63,59567,Высшее,Женат/Замужем,16,41000
357,35,23680,Магистратура,Женат/Замужем,37,14000
358,19,47047,Высшее,Холост/Не замужем,76,35000
359,71,83451,Высшее,Женат/Замужем,24,32000
360,52,48695,Высшее,Холост/Не замужем,26,24000
361,33,43046,Среднее специальное,Разведён/Разведена,20,30000
362,58,77630,Магистратура,Женат/Замужем,9,24000
363,53,51144,Высшее,Разведён/Разведена,87,18000
364,50,51071,Среднее специальное,Женат/Замужем,103,40000
365,21,36054,Магистратура,Разведён/Разведена,29,15000
366,50,48713,Среднее специальное,Холост/Не замужем,31,38000
367,31,53256,Аспирантура,Женат/Замужем,19,20000
368,38,43466,Высшее,Женат/Замужем,20,20000
369,65,55839,Среднее специальное,Женат/Замужем,87,37000
370,37,54329,Высшее,Женат/Замужем,107,34000
371,73,56868,Высшее,Холост/Не замужем,27,33000
372,25,65823,Среднее,Холост/Не замужем,94,37000
373,24,58537,Высшее,Разведён/Разведена,85,42000
374,20,39302,Высшее,Женат/Замужем,44,16000
375,34,49239,Высшее,Холост/Не замужем,35,25000
376,50,61336,Среднее,Женат/Замужем,113,23000
377,65,60263,Высшее,Разведён/Разведена,71,36000
378,29,43259,Среднее,Холост/Не замужем,22,18000
379,68,56153,Высшее,Разведён/Разведена,74,26000
380,39,54357,Среднее,Разведён/Разведена,87,29000
381,72,86217,Магистратура,Разведён/Разведена,15,27000
382,39,41128,Высшее,Разведён/Разведена,94,14000
383,63,57073,Высшее,Женат/Замужем,98,36000
384,47,35012,Высшее,Женат/Замужем,13,18000
385,55,81469,Среднее специальное,Холост/Не замужем,4,59000
386,55,51865,Среднее специальное,Холост/Не замужем,82,33000
387,62,62218,Магистратура,Женат/Замужем,56,18000
388,68,74502,Магистратура,Женат/Замужем,23,45000
389,71,76633,Среднее,Холост/Не замужем,97,26000
390,25,46798,Высшее,Женат/Замужем,98,32000
391,44,45110,Высшее,Холост/Не замужем,34,35000
392,44,33719,Высшее,Разведён/Разведена,100,19000
393,51,36695,Среднее,Холост/Не замужем,99,23000
394,38,37311,Среднее специальное,Женат/Замужем,17,15000
395,47,38922,Среднее специальное,Женат/Замужем,28,20000
396,50,51045,Магистратура,Холост/Не замужем,14,37000
397,45,71213,Высшее,Разведён/Разведена,34,27000
398,64,61140,Высшее,Женат/Замужем,112,26000
399,50,49935,Магистратура,Холост/Не замужем,75,26000
400,22,32954,Высшее,Холост/Не замужем,57,21000
401,65,61515,Магистратура,Холост/Не замужем,77,30000
402,36,43389,Высшее,Холост/Не замужем,97,33000
403,21,40513,Среднее специальное,Женат/Замужем,55,14000
404,52,70471,Магистратура,Женат/Замужем,66,34000
405,66,83448,Высшее,Разведён/Разведена,98,54000
406,34,73652,Среднее специальное,Женат/Замужем,117,30000
407,61,72940,Высшее,Холост/Не замужем,93,45000
408,45,85117,Среднее,Холост/Не замужем,37,32000
409,47,41552,Высшее,Женат/Замужем,68,13000
410,46,83769,Магистратура,Холост/Не замужем,76,30000
411,63,60294,Магистратура,Холост/Не замужем,26,46000
412,70,67369,Магистратура,Разведён/Разведена,61,38000
413,23,32201,Среднее специальное,Холост/Не замужем,92,22000
414,52,53920,Высшее,Разведён/Разведена,67,25000
415,58,63287,Среднее,Холост/Не замужем,84,37000
416,54,50099,Магистратура,Вдовец/Вдова,74,27000
417,41,60849,Высшее,Женат/Замужем,52,47000
418,46,44107,Высшее,Женат/Замужем,18,29000
419,66,78234,Высшее,Холост/Не замужем,53,52000
420,63,88915,Высшее,Разведён/Разведена,63,28000
421,70,66243,Высшее,Разведён/Разведена,53,38000
422,48,65915,Аспирантура,Женат/Замужем,117,35000
423,52,65587,Аспирантура,Женат/Замужем,27,50000
424,50,89393,Среднее специальное,Женат/Замужем,31,38000
425,69,63227,Высшее,Холост/Не замужем,91,27000
426,38,57926,Аспирантура,Женат/Замужем,106,29000
427,49,30409,Среднее,Разведён/Разведена,1,12000
428,40,40162,Высшее,Женат/Замужем,6,14000
429,50,60900,Среднее специальное,Холост/Не замужем,11,44000
430,20,52497,Высшее,Женат/Замужем,34,30000
431,35,25210,Среднее,Женат/Замужем,103,18000
432,42,60991,Высшее,Холост/Не замужем,84,43000
433,59,61851,Среднее специальное,Холост/Не замужем,63,27000
434,48,31177,Высшее,Холост/Не замужем,53,17000
435,71,75123,Аспирантура,Женат/Замужем,85,25000
436,20,57237,Магистратура,Холост/Не замужем,85,43000
437,57,44393,Магистратура,Женат/Замужем,18,22000
438,63,64350,Высшее,Женат/Замужем,21,31000
439,41,33600,Среднее,Женат/Замужем,19,15000
440,67,62171,Среднее специальное,Вдовец/Вдова,4,32000
441,49,76282,Магистратура,Холост/Не замужем,77,32000
442,64,62727,Высшее,Холост/Не замужем,82,30000
443,39,67823,Среднее специальное,Разведён/Разведена,116,47000
444,40,64235,Высшее,Холост/Не замужем,29,46000
445,19,25358,Среднее специальное,Холост/Не замужем,25,11000
446,44,43261,Среднее специальное,Разведён/Разведена,56,23000
447,59,49360,Аспирантура,Вдовец/Вдова,77,36000
448,19,16836,Магистратура,Женат/Замужем,63,5000
449,43,55298,Высшее,Холост/Не замужем,27,41000
450,34,42503,Аспирантура,Женат/Замужем,60,17000
451,57,51845,Высшее,Холост/Не замужем,83,33000
452,50,32368,Высшее,Женат/Замужем,49,19000
453,26,37992,Среднее,Женат/Замужем,65,21000
454,60,56556,Среднее специальное,Разведён/Разведена,38,41000
455,71,69470,Высшее,Холост/Не замужем,83,24000
456,65,72169,Магистратура,Женат/Замужем,52,34000
457,56,22872,Высшее,Холост/Не замужем,1,13000
458,46,29400,Среднее специальное,Холост/Не замужем,40,20000
459,59,97246,Среднее специальное,Женат/Замужем,81,39000
460,72,65600,Магистратура,Холост/Не замужем,21,46000
461,43,15000,Среднее специальное,Женат/Замужем,86,7000
462,52,35450,Высшее,Женат/Замужем,15,13000
463,67,106467,Среднее,Вдовец/Вдова,50,72000
464,42,38655,Среднее,Женат/Замужем,103,13000
465,41,65785,Высшее,Разведён/Разведена,48,36000
466,30,41416,Высшее,Женат/Замужем,103,13000
467,24,27525,Высшее,Холост/Не замужем,32,13000
468,74,86431,Среднее специальное,Женат/Замужем,49,51000
469,53,22234,Магистратура,Женат/Замужем,68,12000
470,62,43583,Среднее специальное,Женат/Замужем,108,21000
471,37,37814,Высшее,Женат/Замужем,45,19000
472,18,15000,Аспирантура,Женат/Замужем,32,6000
473,25,26888,Среднее специальное,Холост/Не замужем,4,14000
474,63,78805,Магистратура,Холост/Не замужем,117,61000
475,33,43982,Среднее специальное,Женат/Замужем,65,31000
476,31,60359,Высшее,Женат/Замужем,97,22000
477,29,41730,Высшее,Женат/Замужем,71,13000
478,68,84886,Аспирантура,Женат/Замужем,73,65000
479,40,46638,Среднее специальное,Холост/Не замужем,65,26000
480,32,32345,Высшее,Женат/Замужем,80,18000
481,45,73808,Аспирантура,Женат/Замужем,18,50000
482,51,45759,Высшее,Женат/Замужем,54,20000
483,19,35957,Высшее,Женат/Замужем,47,19000
484,49,66333,Среднее специальное,Женат/Замужем,6,52000
485,40,60222,Высшее,Женат/Замужем,66,38000
486,39,29318,Среднее,Разведён/Разведена,9,11000
487,68,85779,Среднее,Женат/Замужем,68,31000
488,42,34515,Высшее,Женат/Замужем,109,13000
489,39,58960,Высшее,Женат/Замужем,23,40000
490,39,54827,Аспирантура,Женат/Замужем,118,24000
491,66,80679,Магистратура,Женат/Замужем,107,25000
492,69,52724,Высшее,Женат/Замужем,109,40000
493,59,71618,Магистратура,Женат/Замужем,43,27000
494,23,50283,Высшее,Холост/Не замужем,51,15000
495,32,44100,Среднее специальное,Вдовец/Вдова,72,18000
496,71,60120,Магистратура,Женат/Замужем,103,25000
497,60,77396,Среднее специальное,Женат/Замужем,25,39000
498,54,60508,Высшее,Женат/Замужем,80,45000
499,50,30483,Магистратура,Холост/Не замужем,35,22000
500,25,22157,Высшее,Холост/Не замужем,17,11000
501,70,63705,Магистратура,Холост/Не замужем,18,32000
502,61,86987,Среднее специальное,Женат/Замужем,27,50000
503,61,84352,Высшее,Разведён/Разведена,15,35000
504,22,53104,Среднее,Женат/Замужем,81,17000
505,56,63885,Высшее,Женат/Замужем,107,49000
